symbol,SL6655,SL7393,SL7396,SL7625,SL7632,SL7805
A1BG,45,78,45,55,52,51
A1BG-AS1,185,164,91,210,156,268
A1CF,7,14,6,8,6,27
A2M,9001,14368,5740,23674,15474,11985
A2M-AS1,111,125,77,116,111,120
A2ML1,66,356,258,202,161,161
A2MP1,26,53,46,53,40,38
A3GALT2,3,4,4,30,15,5
A4GALT,157,251,219,201,172,162
A4GNT,4,1,7,1,2,5
AA06,1,4,3,2,7,5
AAAS,1041,1720,1240,1365,991,1248
AACS,5374,4378,3209,5853,4755,6101
AACSP1,20,9,18,25,16,42
AADAC,0,2,2,0,3,3
AADACL2,1,1,1,2,2,7
AADACL3,0,0,0,0,0,3
AADACL4,0,0,0,0,0,0
AADACP1,1,1,1,2,4,5
AADAT,308,567,441,480,430,450
AAGAB,1856,1706,1165,2346,2314,2483
AAK1,18504,15705,8696,19913,17480,24930
AAMDC,30,59,56,37,34,46
AAMP,3846,4155,3230,4772,4005,4245
AANAT,28,29,26,32,15,28
AAR2,618,834,579,885,678,796
AARD,64,51,45,958,78,80
AARS1,19352,17644,11293,23224,19881,25399
AARS1P1,0,0,0,0,0,0
AARS2,1650,1712,1179,2123,1668,1776
AARSD1,68,162,130,126,83,97
AASDH,438,786,590,596,667,762
AASDHPPT,3391,4088,2664,3653,3989,4579
AASS,105,432,282,171,160,349
AATBC,139,120,57,167,112,197
AATK,20453,24985,13412,20481,15894,23491
ABAT,13770,14424,9421,17456,16450,21031
ABCA1,296,848,415,532,426,612
ABCA10,141,229,229,206,188,204
ABCA11P,46,90,101,80,86,75
ABCA12,18,37,23,35,20,47
ABCA13,5,3,4,10,2,21
ABCA17P,179,260,228,201,183,213
ABCA2,45304,61253,35673,50064,37914,70470
ABCA3,17347,13981,8152,18195,13924,20310
ABCA4,35,80,45,60,100,62
ABCA5,1710,1939,1307,2237,1942,2469
ABCA6,135,253,213,194,205,242
ABCA7,2992,3011,1955,2964,2284,3237
ABCA8,243,1112,559,467,551,940
ABCA9,393,591,566,473,459,562
ABCA9-AS1,1,0,1,3,1,1
ABCB1,1057,1971,651,1384,1722,1319
ABCB10,500,611,390,702,587,668
ABCB10P3,2,0,0,2,0,1
ABCB10P4,3,2,1,1,0,6
ABCB11,4,6,7,4,3,12
ABCB4,43,41,40,35,31,55
ABCB5,4,2,8,7,3,19
ABCB6,186,235,158,150,164,202
ABCB7,287,474,291,459,408,606
ABCB8,2632,3438,2071,3320,2532,3171
ABCB9,3216,3504,2465,3635,2830,3352
ABCC1,1386,1108,574,1529,1066,1516
ABCC10,1887,2227,1415,1908,1641,1987
ABCC11,24,79,55,31,31,70
ABCC12,275,394,140,443,365,372
ABCC13,3,3,3,19,2,15
ABCC2,8,24,14,20,14,28
ABCC3,118,106,90,128,109,116
ABCC4,95,143,125,323,87,173
ABCC5,5848,6095,3618,6042,5732,6886
ABCC5-AS1,2,14,22,8,11,5
ABCC6,86,175,98,119,86,129
ABCC6P1,17,17,8,21,16,21
ABCC6P2,1,4,5,4,3,4
ABCC8,4987,4848,3742,4186,4044,5701
ABCC9,415,1142,568,646,508,867
ABCD1,328,517,275,579,268,385
ABCD1P2,0,0,0,0,1,1
ABCD2,733,973,417,807,723,1196
ABCD3,1023,1830,1045,1478,1281,1827
ABCD4,893,1614,1308,984,1189,1164
ABCE1,994,1206,799,1377,1149,1480
ABCF1,4172,4330,2980,5534,4257,4358
ABCF2,3655,3918,2521,4640,3994,4556
ABCF2P1,5,11,18,6,2,11
ABCF2P2,1,1,1,0,2,3
ABCF3,2941,3018,1838,3586,2848,3154
ABCG1,507,823,463,797,687,926
ABCG2,1434,2725,927,2482,2797,2243
ABCG4,3211,2731,1646,2804,2756,3295
ABCG5,51,51,56,56,40,68
ABCG8,101,73,66,73,76,128
ABHD1,36,85,55,72,51,69
ABHD10,1229,1537,1172,1648,1430,1829
ABHD11,355,690,508,631,619,442
ABHD12,7746,8320,5728,9754,8217,9018
ABHD12B,542,310,294,565,404,422
